Done ,Name,Yes/No,Current Count,Entity ID,New Count (Fill This),Link ,Link 2
TRUE,Naomi Campbell,YES,0,/m/05b6w8,48,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Naomi_Campbell,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F01pcrw
FALSE,Noam Chomsky,YES,0,/m/0b78hw,,,
TRUE,Osama bin Laden,YES,0,/m/05mg9,12,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F05mg9,
FALSE,Peter Thiel,NO,0,/m/04hyrd,,,
TRUE,Prince Andrew,YES,17,/m/0xnh2,91,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Prince_Andrew,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0xnh2
FALSE,Richard Dawkins,YES,0,/m/06g4_,,,
TRUE,Robert F. Kennedy Jr.,NO,0,NO_ENTITY_ID,,,
FALSE,Rupert Murdoch,YES,0,/m/06hrk,,,
FALSE,Stephen Hawking,YES,0,/m/01tdnyh,,,
FALSE,Steve Bannon,YES,0,/m/0bqscsg,,,
TRUE,Taylor Swift,YES,0,/m/0dl567,11,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0dl567,
TRUE,Tom Pritzker,NO,0,NO_ENTITY_ID,,,
TRUE,Vladimir Putin,YES,0,/m/08193,10,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F08193,
FALSE,Warren Buffett,YES,0,/m/01d_ys,,,
TRUE,Woody Allen,NO,0,/m/08l57,25,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F081lh,
TRUE,Your Mom,NO,0,,,,
